start_time,end_time,rows_written
2024-01-01 00:00:00,2024-02-01 00:00:00,278
2024-02-01 00:00:00,2024-03-01 00:00:00,263
2024-03-01 00:00:00,2024-04-01 00:00:00,289
2024-04-01 00:00:00,2024-05-01 00:00:00,219
2024-05-01 00:00:00,2024-06-01 00:00:00,350
2024-06-01 00:00:00,2024-07-01 00:00:00,285
2024-07-01 00:00:00,2024-08-01 00:00:00,291
2024-08-01 00:00:00,2024-09-01 00:00:00,294
2024-09-01 00:00:00,2024-10-01 00:00:00,207
2024-10-01 00:00:00,2024-11-01 00:00:00,256
2024-11-01 00:00:00,2024-12-01 00:00:00,288
2024-12-01 00:00:00,2025-01-01 00:00:00,363
2025-01-01 00:00:00,2025-02-01 00:00:00,262
2025-02-01 00:00:00,2025-03-01 00:00:00,286
2025-03-01 00:00:00,2025-04-01 00:00:00,218
2025-04-01 00:00:00,2025-05-01 00:00:00,175
2025-05-01 00:00:00,2025-06-01 00:00:00,222
